PU_zone_name,trip_count,total_revenue,total_time_min,total_miles,avg_min_ptrip,avg_dist_ptrip,avg_rev_ptrip,avg_dist_pmin,avg_rev_pmin
Morningside Heights,42468,597770.6000000258,604717.5500000002,104396.77000000006,14.239369643025341,2.4582455024959984,14.075788829236739,0.17263724196527788,0.9885120747694948
Morrisania/Melrose,188,2519.230000000001,2475.8166666666666,485.43,13.169237588652482,2.582074468085106,13.40015957446809,0.19606863728466703,1.017534954796061
Mott Haven/Port Morris,1668,25754.41000000004,22637.583333333332,4535.840000000001,13.571692645883292,2.7193285371702642,15.440293764988034,0.20036767764521396,1.1376837191838076
Mount Hope,146,2419.84,3243.2833333333333,431.42,22.214269406392695,2.954931506849315,16.574246575342467,0.13301952239757037,0.7461081106080772
Murray Hill,277904,3803422.359999002,3981815.766666676,595039.1899999992,14.32802610493795,2.1411681371984543,13.686101531460512,0.1494391566232931,0.9551979757172407
Murray Hill-Queens,82,1668.0100000000002,2297.0499999999997,346.69,28.012804878048776,4.227926829268292,20.34158536585366,0.15092836464160556,0.7261531094229557
NV,155087,2532394.5499996007,2184499.0333333323,391350.4000000001,14.085636019352572,2.5234249163372824,16.328864121426044,0.17914880896185958,1.1592564296700163
Newark Airport,571,50361.87000000003,3490.3,1267.7199999999998,6.1126094570928196,2.220175131348511,88.19942206654997,0.3632123313182247,14.42909492020744
North Corona,319,5012.66,5146.316666666665,1004.95,16.132654127481707,3.150313479623825,15.713667711598745,0.19527558545108323,0.9740286742297892
Norwood,120,2128.1200000000003,1860.35,459.51,15.502916666666666,3.82925,17.734333333333336,0.24700190824307255,1.143935280995512
Oakland Gardens,38,803.8700000000001,474.6833333333334,146.35,12.491666666666669,3.8513157894736842,21.15447368421053,0.30831080369369046,1.6934868859941716
Oakwood,2,159.16000000000003,13.183333333333334,3.9,6.591666666666667,1.95,79.58000000000001,0.29582806573957016,12.07281921618205
Ocean Hill,200,3991.82,3796.8666666666663,825.58,18.984333333333332,4.1279,19.9591,0.21743718504731974,1.0513458465752463
